elapsed_time,total_updates,total_frames,loss,policy_loss,intrinsic_loss,reward,intrinsic,epsilon,arm,replay_ratio
70.5026524066925,1,4293,0.15034525530879295,224.33497619628906,1.3913649677851936,1.0,23.22754669189453,0.9736000000000029,4,2.6537963202902306
80.51343870162964,1,7006,0.15034525530879295,224.33497619628906,1.3913649677851936,0.0,63.26670455932617,0.9736000000000029,15,2.6537963202902306
90.52413582801819,2,8562,1.228618820861123,223.37136840820312,1.348650171821646,0.0,39.326812744140625,0.9500000000000055,3,2.6683168316831685
101.15093326568604,3,11301,1.3660178031144832,222.4224853515625,1.304033276042901,0.0,10.993389129638672,0.927800000000008,4,2.723428774044854
111.16145396232605,3,13702,1.3660178031144832,222.4224853515625,1.304033276042901,0.0,218.513916015625,0.927800000000008,12,2.723428774044854
121.19154763221741,4,15422,1.2188789919739875,221.47787475585938,1.2402450146983028,0.0,17.597152709960938,0.9060000000000104,12,2.796368352788586
131.2835614681244,5,18349,1.1602309014941146,220.25204467773438,1.1523498123897298,0.0,4.6038007736206055,0.8843000000000127,5,2.807445583639454
141.29400062561035,5,20434,1.1602309014941146,220.25204467773438,1.1523498123897298,0.0,3.358586311340332,0.8843000000000127,13,2.807445583639454
151.29752850532532,6,22367,1.3121870381085345,219.71018981933594,1.0622977416642243,0.0,100.48863983154297,0.864000000000015,8,2.85119019999072
161.38272261619568,7,24936,1.3583938436259269,218.864501953125,0.9747207713517128,0.0,26.616233825683594,0.8415000000000175,9,2.887112364075715
171.39018177986145,7,27337,1.3583938436259269,218.864501953125,0.9747207713517128,0.0,5.288459300994873,0.8415000000000175,14,2.887112364075715
181.4006199836731,8,29078,1.2114120458351294,218.08871459960938,0.9441686903628579,0.0,7.829566955566406,0.8204000000000198,8,2.8898765432098767
191.48178553581238,9,32013,1.418779753912437,217.26519775390625,0.985604774683452,0.0,6.713046073913574,0.7974000000000223,14,2.880551301684533
201.49240708351135,9,34710,1.418779753912437,217.26519775390625,0.985604774683452,0.0,251.7039337158203,0.7974000000000223,4,2.880551301684533
211.50279092788696,10,36533,1.3565962515088454,216.4217071533203,1.1079226698238926,0.0,5.568192958831787,0.7746000000000248,11,2.8791925553150217
221.5816571712494,11,39239,1.5017819611503853,215.553466796875,1.1335597128527297,0.0,236.14891052246094,0.7538000000000271,11,2.8780818068010525
231.59393072128296,11,41953,1.5017819611503853,215.553466796875,1.1335597128527297,0.0,12.085245132446289,0.7538000000000271,14,2.8780818068010525
241.60543870925903,12,43932,1.4398242301787738,214.66329956054688,1.0844901204873167,0.0,10.458992004394531,0.7314000000000296,0,2.9024349920880472
